WARNING 2021-01-29 08:56:40,468 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:57:03,888 views Update page is rendered for user 4. 57
INFO 2021-01-29 08:57:03,896 basehttp "GET /update/4 HTTP/1.1" 200 2722 157
WARNING 2021-01-29 08:57:03,920 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:57:03,922 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:57:12,854 views data for user id 4 is updated in greeting databse  51
INFO 2021-01-29 08:57:12,855 basehttp "POST /update/4 HTTP/1.1" 302 0 157
INFO 2021-01-29 08:57:12,859 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:57:12,872 basehttp "GET /show HTTP/1.1" 200 4498 157
WARNING 2021-01-29 08:57:12,902 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:57:12,903 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:57:12,912 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:57:41,414 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:57:41,420 basehttp "GET /show HTTP/1.1" 200 4229 157
WARNING 2021-01-29 08:57:41,441 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:57:41,442 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:57:41,454 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:57:42,464 basehttp "GET / HTTP/1.1" 200 2743 157
WARNING 2021-01-29 08:57:42,487 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
WARNING 2021-01-29 08:57:42,488 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:57:42,500 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:57:48,751 views New user is added to greeting database. 27
INFO 2021-01-29 08:57:48,752 basehttp "POST / HTTP/1.1" 302 0 157
INFO 2021-01-29 08:57:48,754 views All data is fetched from greeting database. 36
INFO 2021-01-29 08:57:48,766 basehttp "GET /show HTTP/1.1" 200 5045 157
WARNING 2021-01-29 08:57:48,791 basehttp "GET /static/css/greeting.css HTTP/1.1" 404 1674 157
WARNING 2021-01-29 08:57:48,791 basehttp "GET /static/js/app.js HTTP/1.1" 404 1653 157
INFO 2021-01-29 08:58:43,791 autoreload Watching for file changes with StatReloader 617
INFO 2021-01-29 08:58:45,648 basehttp "GET / HTTP/1.1" 200 2743 157
